No.,Time,Source,Destination,Protocol,length,info
72,0.0,	10.11.12.9,	10.11.12.4,		HTTP,	1343,	HTTP/1.1 200 OK  (text/html)
75,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
82,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
89,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
92,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
519,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
522,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
529,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
532,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
539,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
542,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
549,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
552,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
559,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
562,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
569,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
572,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
579,0.0,	10.11.12.9,	10.11.12.4,,		HTTP	1343,	HTTP/1.1 200 OK  (text/html)
589,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
590,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
595,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
600,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
610,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
613,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
620,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
623,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
629,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
637,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
644,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
650,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
655,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
660,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
673,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
674,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
683,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
684,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
692,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
700,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
719,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
722,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
729,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
732,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
739,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
742,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
752,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
757,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
767,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
770,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
777,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
780,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
787,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
790,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
797,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
800,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
807,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
810,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
820,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
823,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
830,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
833,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
841,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
852,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
859,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
862,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
869,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
872,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
880,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
887,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
896,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
897,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
906,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
907,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
920,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
923,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
930,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
933,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
939,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
946,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
951,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
963,0.0,	10.11.12.9,	10.11.12.4,		HTTP	1343,	HTTP/1.1 200 OK  (text/html),
